code_module,code_presentation,id_student,total_clicks,mean_clicks,active_days,first_activity_day,last_activity_day,n_activity_records,n_unique_sites,n_activity_types,engagement_span,clicks_per_active_day
AAA,2013J,11391,934,4.76530612244898,40,-5,253,196,55,6,258,23.35
AAA,2013J,28400,1435,3.3372093023255816,80,-10,239,430,84,7,249,17.9375
AAA,2013J,30268,281,3.6973684210526314,12,-10,12,76,22,6,22,23.416666666666668
AAA,2013J,31604,2158,3.2549019607843137,123,-10,264,663,82,8,274,17.54471544715447
AAA,2013J,32885,1034,2.9375,70,-10,247,352,66,7,257,14.771428571428572
AAA,2013J,38053,2445,3.3817427385892116,143,-10,267,723,88,8,277,17.097902097902097
AAA,2013J,45462,1492,4.20281690140845,90,-10,267,355,59,8,277,16.57777777777778
AAA,2013J,45642,1428,2.689265536723164,105,-9,264,531,66,8,273,13.6
AAA,2013J,52130,1894,3.193929173693086,122,-4,245,593,76,8,249,15.524590163934427
AAA,2013J,53025,3158,3.493362831858407,142,-7,257,904,80,7,264,22.239436619718308
AAA,2013J,57506,1319,3.272952853598015,90,-10,243,403,76,8,253,14.655555555555555
AAA,2013J,58873,1732,3.2927756653992395,120,-10,256,526,74,8,266,14.433333333333334
AAA,2013J,59185,1102,3.1942028985507247,61,-10,245,345,52,7,255,18.065573770491802
AAA,2013J,62155,3388,3.45361875637105,148,-10,265,981,98,8,275,22.89189189189189
AAA,2013J,63400,2737,3.6013157894736842,175,-10,268,760,73,7,278,15.64
AAA,2013J,65002,171,3.1666666666666665,11,-10,96,54,25,6,106,15.545454545454545
AAA,2013J,70464,1053,5.136585365853659,46,-10,248,205,63,9,258,22.891304347826086
AAA,2013J,71361,2327,3.1964285714285716,135,-10,243,728,81,8,253,17.237037037037037
AAA,2013J,74372,116,1.6111111111111112,14,-5,213,72,23,6,218,8.285714285714286
AAA,2013J,75091,2992,3.9681697612732094,122,-10,254,754,100,7,264,24.524590163934427
AAA,2013J,77367,680,2.5092250922509227,86,-10,250,271,44,6,260,7.906976744186046
AAA,2013J,91265,1494,3.0120967741935485,125,-8,259,496,60,7,267,11.952
