code_module,code_presentation,id_student,mean_score,max_score,min_score,std_score,n_assessments_submitted,total_weighted_score,mean_submission_date,late_submissions
AAA,2013J,11391,82.0,85.0,78.0,3.082207001484488,5,82.4,112.4,0
AAA,2013J,28400,66.4,70.0,60.0,4.335896677735761,5,65.4,114.2,0
AAA,2013J,31604,76.0,88.0,71.0,6.8920243760451125,5,76.3,112.2,0
AAA,2013J,32885,54.4,75.0,30.0,20.513410247932935,5,55.0,125.6,0
AAA,2013J,38053,68.0,79.0,50.0,10.977249200050075,5,66.9,116.2,0
AAA,2013J,45462,68.0,75.0,62.0,4.949747468305833,5,67.8,114.6,0
AAA,2013J,45642,72.4,73.0,72.0,0.5477225575051652,5,72.5,116.8,0
AAA,2013J,52130,71.4,75.0,68.0,2.6076809620810586,5,71.2,115.6,0
AAA,2013J,53025,78.0,81.0,71.0,4.062019202317981,5,79.0,109.6,0
AAA,2013J,57506,74.0,80.0,68.0,5.656854249492381,5,74.0,113.4,0
AAA,2013J,58873,73.2,78.0,68.0,3.5637059362410923,5,73.7,114.6,0
AAA,2013J,59185,78.6,89.0,67.0,9.864076236526156,5,80.8,113.8,0
AAA,2013J,62155,76.0,85.0,70.0,5.6568542494923815,5,76.4,111.6,0
AAA,2013J,63400,71.6,83.0,42.0,16.742162345408076,5,71.2,114.2,0
AAA,2013J,65002,67.0,68.0,66.0,1.4142135623730951,2,20.2,34.0,0
AAA,2013J,70464,55.6,61.0,38.0,9.864076236526156,5,53.5,109.6,0
AAA,2013J,71361,80.4,86.0,75.0,4.39317652729776,5,79.69999999999999,113.8,0
AAA,2013J,74372,48.5,67.0,18.0,21.641010450839243,4,32.8,90.5,0
AAA,2013J,75091,66.0,67.0,65.0,1.0000000000000004,5,65.8,113.6,0
AAA,2013J,77367,70.4,76.0,64.0,4.82700735445887,5,69.5,115.0,0
AAA,2013J,91265,70.8,75.0,57.0,7.758865896508328,5,69.0,119.4,0
AAA,2013J,94961,74.0,74.0,74.0,0.0,1,7.4,17.0,0
AAA,2013J,98094,60.6,62.0,59.0,1.51657508881031,5,60.6,106.4,0
AAA,2013J,100893,68.4,74.0,63.0,4.27784992724149,5,68.7,114.4,0
AAA,2013J,101781,72.6,84.0,64.0,7.987490219086344,5,71.6,112.4,0
AAA,2013J,102806,78.0,86.0,60.0,10.677078252031311,5,76.0,114.2,0
AAA,2013J,102952,76.6,83.0,70.0,5.412947441089744,5,77.1,113.8,0
AAA,2013J,104476,79.6,85.0,77.0,3.209361307176242,5,78.9,118.0,0
AAA,2013J,106247,60.0,67.0,47.0,11.269427669584644,3,29.299999999999997,70.33333333333333,0
AAA,2013J,106577,53.4,65.0,38.0,9.96493853468249,5,54.199999999999996,115.4,0
AAA,2013J,110175,63.4,69.0,53.0,6.580273550544841,5,63.699999999999996,113.8,0
AAA,2013J,111717,81.0,83.0,80.0,1.7320508075688772,3,48.9,114.0,0
AAA,2013J,113295,77.6,81.0,75.0,2.1908902300206634,5,77.3,117.6,0
AAA,2013J,114017,71.8,76.0,66.0,3.7682887362833544,5,72.3,113.2,0
AAA,2013J,114999,72.8,80.0,54.0,10.756393447619885,5,70.8,115.6,0
AAA,2013J,116541,62.4,76.0,50.0,9.528903399657276,5,59.8,123.6,0
AAA,2013J,116692,74.2,78.0,72.0,3.0331501776206204,5,74.2,109.6,0
AAA,2013J,118983,61.8,73.0,45.0,10.256705123966467,5,59.0,114.2,0
AAA,2013J,123044,71.4,75.0,68.0,2.607680962081061,5,70.7,115.4,0
AAA,2013J,127582,69.6,75.0,66.0,3.577708763999661,5,69.4,118.4,0
AAA,2013J,129955,81.0,85.0,76.0,4.58257569495584,3,40.099999999999994,66.33333333333333,0
AAA,2013J,132976,67.4,75.0,62.0,5.770615218501402,5,67.30000000000001,113.4,0
AAA,2013J,134143,84.4,87.0,81.0,2.40831891575846,5,83.8,113.4,0
AAA,2013J,135400,61.5,72.0,51.0,14.849242404917497,2,17.4,34.0,0
AAA,2013J,137873,80.2,87.0,72.0,5.630275304103698,5,81.7,112.4,0
AAA,2013J,141355,72.6,77.0,70.0,2.880972058177588,5,72.0,115.6,0
AAA,2013J,141377,45.0,45.0,45.0,0.0,1,4.5,54.0,0
AAA,2013J,142326,73.6,82.0,65.0,6.268971207462992,5,75.3,115.2,0
AAA,2013J,144801,68.8,79.0,61.0,7.758865896508329,5,70.6,114.8,0
AAA,2013J,145130,54.4,75.0,37.0,14.758048651498612,5,53.2,118.4,0
AAA,2013J,146188,50.0,62.0,40.0,8.74642784226795,5,48.8,119.0,0
AAA,2013J,147756,73.75,77.0,71.0,2.7537852736430515,4,51.3,91.5,0
