time_window,warning_level,n_records,withdrawal_rate,failure_rate,success_rate,mean_early_warning
pre-course,Low,0,,,,
pre-course,Moderate,7819,0.03862386494436629,0.09668755595344673,0.864688579102187,0.5973199125051183
pre-course,High,21922,0.3347322324605419,0.2720098531155916,0.39325791442386643,0.7837641959364264
0-30,Low,7,0.0,0.0,1.0,0.31783376766353866
0-30,Moderate,16823,0.1036081555013969,0.16929204065862213,0.727099803839981,0.5600164618409745
0-30,High,12911,0.4567423127565642,0.2998218573309581,0.24343582991247772,0.7609518146555293
31-60,Low,2,0.0,0.0,1.0,0.32454565643157085
31-60,Moderate,14565,0.06453827669069688,0.13635427394438723,0.7991074493649158,0.5665342747087813
31-60,High,15174,0.44154474759456963,0.31191511796494004,0.2465401344404903,0.7925127474299355
61-90,Low,0,,,,
61-90,Moderate,11285,0.034736375719982275,0.10128489144882588,0.8639787328311919,0.5807932026721457
61-90,High,18456,0.39271781534460337,0.3021239705244907,0.30515821413090594,0.8065159899814235
91-120,Low,0,,,,
91-120,Moderate,11864,0.028320971004720162,0.09389750505731626,0.8777815239379636,0.57130447924389
91-120,High,17877,0.40856967052637466,0.31353135313531355,0.2778989763383118,0.8157415866942479
121-180,Low,635,0.0015748031496062992,0.0031496062992125984,0.9952755905511811,0.29322070002353906
121-180,Moderate,14698,0.026874404680908966,0.11498163015376242,0.8581439651653286,0.5223198453718759
121-180,High,14408,0.502776235424764,0.34890338700721824,0.14832037756801777,0.8418804729931836
180+,Low,673,0.0,0.008915304606240713,0.9910846953937593,0.26713659200974443
180+,Moderate,13464,0.006090314913844325,0.08949792038027332,0.9044117647058824,0.5312502505238756
180+,High,15604,0.4843629838502948,0.3529864137400667,0.16265060240963855,0.8528107735332169
