recommended_policy,intervention_intensity,n_learners,mean_equilibrium,mean_risk,withdrawal_rate,success_rate,mean_overload
Immediate intervention and advisor contact,High,4233,0.08631904775613329,0.760114447137591,0.902669501535554,0.0004724781478856603,0.006401139659810513
Reduce AI overload + intensive human tutoring,High,84,0.15717379743302035,0.7228369564362654,0.9523809523809523,0.0,0.276231624242524
Engagement recovery plan,High,1172,0.19554208633032794,0.6791887855383121,0.7474402730375427,0.002559726962457338,0.04521928182152552
Moderate adaptive AI support,High,310,0.18640796266280052,0.6720590750671143,0.9580645161290322,0.0032258064516129032,0.14289138085097994
Engagement recovery plan,Moderate,1460,0.28858823862633853,0.6297555009803105,0.2732876712328767,0.045205479452054796,0.04117226202329869
Moderate adaptive AI support,Moderate,10282,0.33237625656968095,0.5705335021171388,0.40371523049990277,0.25043765804318224,0.07420138473055117
Light monitoring,Moderate,10261,0.5312504570493704,0.42321869683595226,0.05067732189845044,0.7853035766494494,0.05959710083552578
Autonomous enrichment and monitoring,Moderate,782,0.6880436070305519,0.3599883944112967,0.0,0.9948849104859335,0.018588831224199645
Light monitoring,Low,1246,0.6196694007434177,0.3003895717615417,0.0072231139646869984,0.9357945425361156,0.07378825319373797
Autonomous enrichment and monitoring,Low,2763,0.7349290838642633,0.25479342342475225,0.0010857763300760044,0.990228013029316,0.03992103663952015
Autonomous enrichment and monitoring,High,0,,,,,
Engagement recovery plan,Low,0,,,,,
Immediate intervention and advisor contact,Low,0,,,,,
Immediate intervention and advisor contact,Moderate,0,,,,,
Light monitoring,High,0,,,,,
Moderate adaptive AI support,Low,0,,,,,
Reduce AI overload + intensive human tutoring,Low,0,,,,,
Reduce AI overload + intensive human tutoring,Moderate,0,,,,,
