model,coverage,risk,n_retained,mean_confidence
Conventional Random Forest,0.5,0.003008562832677586,4321,0.9980523027077065
Conventional Random Forest,0.55,0.0033061494379545975,4537,0.9973832929248403
Conventional Random Forest,0.6,0.004380724810832293,5022,0.9953548387096776
Conventional Random Forest,0.65,0.005185185185185182,5400,0.9931711111111111
Conventional Random Forest,0.7,0.0064471162223384,5739,0.9906290294476389
Conventional Random Forest,0.75,0.00931524758947544,6119,0.9868527537179277
Conventional Random Forest,0.8,0.012413793103448256,6525,0.9815276628352492
Conventional Random Forest,0.8500000000000001,0.017895800259777772,6929,0.9741965651609179
Conventional Random Forest,0.9,0.02495227706572134,7334,0.9641368966457594
Conventional Random Forest,0.95,0.03847146914536537,7746,0.9499628636417068
Conventional Random Forest,1.0,0.05558964290096946,8149,0.9310075275210038
VEAI Gradient Boosting,0.5,0.0004907975460122227,4075,0.9947022778759204
VEAI Gradient Boosting,0.55,0.001115573404730008,4482,0.9934900068230571
VEAI Gradient Boosting,0.6,0.0036809815950920033,4890,0.9917861942890878
VEAI Gradient Boosting,0.65,0.00792602377807139,5299,0.9887764173827412
VEAI Gradient Boosting,0.7,0.01069237510955301,5705,0.9841270128270104
VEAI Gradient Boosting,0.75,0.01472513089005234,6112,0.9785586203440292
VEAI Gradient Boosting,0.8,0.021782481975763157,6519,0.9719066311941855
VEAI Gradient Boosting,0.8500000000000001,0.03074924209614549,6927,0.9635844693807495
VEAI Gradient Boosting,0.9,0.042541587128442915,7334,0.9531663247619149
VEAI Gradient Boosting,0.95,0.05813202428626796,7741,0.9405391858739561
VEAI Gradient Boosting,1.0,0.0751012394158792,8149,0.9234866376638705
